Defect_ID,Creation_Date,Module,Severity,Status,Resolution_Date,Creation_Month
BUG-1000,2026-04-13 09:08:57.231157,Billing & Payments,Medium,Open,,2026-04
BUG-1001,2026-06-29 09:08:57.231157,Billing & Payments,Low,Open,,2026-06
BUG-1002,2026-04-03 09:08:57.231157,Billing & Payments,High,Closed,2026-04-05 09:08:57.231157,2026-04
BUG-1003,2026-01-15 09:08:57.231157,Billing & Payments,Low,Closed,2026-01-28 09:08:57.231157,2026-01
BUG-1004,2026-04-17 09:08:57.231157,Authentication,High,Closed,2026-04-22 09:08:57.231157,2026-04
BUG-1005,2026-03-13 09:08:57.231157,API Gateway,Medium,Closed,2026-03-17 09:08:57.231157,2026-03
BUG-1006,2026-01-21 09:08:57.231157,Billing & Payments,High,Closed,2026-02-01 09:08:57.231157,2026-01
BUG-1007,2026-04-13 09:08:57.231157,API Gateway,Critical,Closed,2026-04-15 09:08:57.231157,2026-04
BUG-1008,2026-05-02 09:08:57.231157,Billing & Payments,High,Closed,2026-05-05 09:08:57.231157,2026-05
BUG-1009,2026-03-16 09:08:57.231157,API Gateway,High,Closed,2026-03-23 09:08:57.231157,2026-03
BUG-1010,2026-03-29 09:08:57.231157,Billing & Payments,Medium,Closed,2026-04-06 09:08:57.231157,2026-03
BUG-1011,2026-04-27 09:08:57.231157,Billing & Payments,Medium,Open,,2026-04
BUG-1012,2026-04-10 09:08:57.231157,Dashboard UI,Low,Closed,2026-04-22 09:08:57.231157,2026-04
BUG-1013,2026-04-14 09:08:57.231157,API Gateway,Low,Open,,2026-04
BUG-1014,2026-06-01 09:08:57.231157,Billing & Payments,Medium,Closed,2026-06-14 09:08:57.231157,2026-06
BUG-1015,2026-05-11 09:08:57.231157,Notification Engine,Medium,Closed,2026-05-17 09:08:57.231157,2026-05
BUG-1016,2026-05-30 09:08:57.231157,Authentication,Medium,In Progress,,2026-05
BUG-1017,2026-02-22 09:08:57.231157,Dashboard UI,Medium,Closed,2026-03-05 09:08:57.231157,2026-02
BUG-1018,2026-01-02 09:08:57.231157,Notification Engine,High,Closed,2026-01-07 09:08:57.231157,2026-01
BUG-1019,2026-03-29 09:08:57.231157,Dashboard UI,Medium,Closed,2026-04-11 09:08:57.231157,2026-03
BUG-1020,2026-06-07 09:08:57.231157,Dashboard UI,High,Closed,2026-06-08 09:08:57.231157,2026-06
BUG-1021,2026-02-07 09:08:57.231157,Dashboard UI,High,Closed,2026-02-15 09:08:57.231157,2026-02
BUG-1022,2026-05-10 09:08:57.231157,Dashboard UI,Critical,Closed,2026-05-13 09:08:57.231157,2026-05
BUG-1023,2026-01-21 09:08:57.231157,API Gateway,Medium,In Progress,,2026-01
BUG-1024,2026-06-10 09:08:57.231157,Authentication,High,Closed,2026-06-16 09:08:57.231157,2026-06
BUG-1025,2026-02-27 09:08:57.231157,Billing & Payments,Critical,Closed,2026-03-02 09:08:57.231157,2026-02
BUG-1026,2026-01-22 09:08:57.231157,Dashboard UI,Critical,Closed,2026-01-29 09:08:57.231157,2026-01
BUG-1027,2026-03-30 09:08:57.231157,Notification Engine,Low,Open,,2026-03
BUG-1028,2026-02-18 09:08:57.231157,Dashboard UI,Medium,Closed,2026-03-03 09:08:57.231157,2026-02
BUG-1029,2026-02-28 09:08:57.231157,Billing & Payments,Medium,Closed,2026-03-14 09:08:57.231157,2026-02
BUG-1030,2026-06-19 09:08:57.231157,API Gateway,Low,Closed,2026-06-26 09:08:57.231157,2026-06
BUG-1031,2026-01-15 09:08:57.231157,API Gateway,Medium,Resolved,2026-01-27 09:08:57.231157,2026-01
BUG-1032,2026-06-24 09:08:57.231157,Billing & Payments,High,Closed,2026-07-03 09:08:57.231157,2026-06
BUG-1033,2026-02-20 09:08:57.231157,Billing & Payments,High,Closed,2026-02-25 09:08:57.231157,2026-02
BUG-1034,2026-04-18 09:08:57.231157,Dashboard UI,Low,Closed,2026-04-26 09:08:57.231157,2026-04
BUG-1035,2026-02-24 09:08:57.231157,Dashboard UI,High,Open,,2026-02
BUG-1036,2026-03-05 09:08:57.231157,Billing & Payments,Medium,Closed,2026-03-15 09:08:57.231157,2026-03
BUG-1037,2026-05-11 09:08:57.231157,Billing & Payments,High,Closed,2026-05-21 09:08:57.231157,2026-05
BUG-1038,2026-02-20 09:08:57.231157,Authentication,Critical,In Progress,,2026-02
BUG-1039,2026-05-15 09:08:57.231157,Authentication,Medium,Open,,2026-05
BUG-1040,2026-01-21 09:08:57.231157,Notification Engine,Medium,Closed,2026-01-29 09:08:57.231157,2026-01
BUG-1041,2026-03-14 09:08:57.231157,API Gateway,High,In Progress,,2026-03
BUG-1042,2026-06-16 09:08:57.231157,Billing & Payments,Medium,Closed,2026-06-17 09:08:57.231157,2026-06
BUG-1043,2026-01-18 09:08:57.231157,Notification Engine,Low,Closed,2026-01-30 09:08:57.231157,2026-01
BUG-1044,2026-05-12 09:08:57.231157,API Gateway,High,Closed,2026-05-17 09:08:57.231157,2026-05
BUG-1045,2026-03-30 09:08:57.231157,Dashboard UI,Medium,Resolved,2026-04-02 09:08:57.231157,2026-03
BUG-1046,2026-03-01 09:08:57.231157,Dashboard UI,High,Closed,2026-03-02 09:08:57.231157,2026-03
BUG-1047,2026-01-14 09:08:57.231157,Authentication,Medium,Closed,2026-01-18 09:08:57.231157,2026-01
BUG-1048,2026-01-09 09:08:57.231157,Authentication,High,Closed,2026-01-17 09:08:57.231157,2026-01
BUG-1049,2026-03-31 09:08:57.231157,API Gateway,Low,Open,,2026-03
BUG-1050,2026-02-22 09:08:57.231157,Dashboard UI,Critical,Closed,2026-02-25 09:08:57.231157,2026-02
BUG-1051,2026-05-10 09:08:57.231157,Billing & Payments,High,Closed,2026-05-20 09:08:57.231157,2026-05
BUG-1052,2026-03-25 09:08:57.231157,Notification Engine,Low,Closed,2026-03-27 09:08:57.231157,2026-03
